,address,Eligible Tokens Held,SPAD Holder,Token Held Allocation,BOS Collection,BOS Allocation,Unique STAMP Collections,STAMP Held Allocation,Total Allocation Amt
0,bc1qjf7yd3m72fqg22djj0wpfphgyfc48x779vz2wz,6,false,12000,0,0,1,5000,23000
1,bc1q4x5ek8cskqsn2s8du8xx0924kqc55dufwg9wnl,6,false,12000,0,0,1,5000,23000
2,1PQTdpC8ob7D7FsP76hzp7ogJSz8HoP8hL,6,false,12000,4,5000,2,10000,28000
3,bc1qw6vfur5huk6pw8cl2zrxgan6pltgcvfeka52yc,6,false,12000,0,0,1,5000,23000
4,bc1qwdgpchugenmzq8epswxkqft6spegs7q2n0qy70,6,false,12000,0,0,1,5000,23000
5,bc1qra4darqav2f6wxfqmttfhz0k6tq6fns4pmmp2g,5,false,12000,1,5000,1,5000,20000
6,bc1q43y44eepu2m4c94mttxs096fea6fv43d4akj0t,5,true,21000,3,5000,2,10000,34000
7,bc1q8vjdzwyktg8dw2hp69vylrpywruymm6nac9fk4,5,false,12000,0,0,1,5000,20000
8,bc1qmpz7ppxh5jczk8n4kp2q8amnmsyctfryw8ktz7,5,true,21000,0,0,0,0,24000
9,bc1q2yru54cud3rfdufxy0lpq9jhcwhfth5y88kf6g,5,false,12000,0,0,0,0,15000
10,bc1q92xgaagfgrnhkl8w4w8l2lskfmcchyzhv7jx0w,5,false,12000,0,0,0,0,15000
11,bc1qneuanc0fs3v9jhezwx7jwge660jk42jrejmes4,5,false,12000,0,0,0,0,15000
12,bc1qcsxfw8lxsc068qstpkdnz6lcn695knlg60kg7h,5,false,12000,0,0,0,0,15000
13,bc1q7dcd7rclpzuvu4uw6yg6ec6jg5cc57kda5fu0y,5,false,12000,0,0,0,0,15000
14,bc1qxgy0n2std5yj3hnux83a5jz28aljqst4yftc48,5,false,12000,0,0,1,5000,20000
15,bc1qdzpqzd80yrste5scrdcv0jm6wj83l2g7ghnuma,5,false,12000,0,0,1,5000,20000
16,bc1qkt288tduq3pklncl83hpmaewr4p8ej8q6r3cg4,5,false,12000,0,0,1,5000,20000
17,bc1qjthppjavrh545sqc3dkkw70qhxv7zzw5fyv7mc,5,true,21000,0,0,1,5000,29000
18,15EFF1BFgjvAQmGd8b3o5eUToRvycMB75a,5,false,12000,27,20000,6,20000,35000
19,bc1qd9g49sl8xetmtx7lrxnx0qj4mdmu5d6ttvwcnl,5,false,12000,2,5000,1,5000,20000
20,bc1ql7ayt7r3zp3qfgs3z32jkp06fe3rdtj2ksmq49,5,false,12000,0,0,2,10000,25000
21,bc1q6cfwqt8zp6g69658xpae3xqck9huq9hlzqzgm7,5,false,12000,0,0,0,0,15000
22,bc1qgnyxt66zwz7907cldzwgjy82ukvv5qcz0hag73,5,false,12000,0,0,1,5000,20000
23,bc1q9t0j9hvx9z7wqa7zr3srhsqjy7e70nq5y3ycvx,5,false,12000,0,0,0,0,15000
24,bc1qq8f563srrehzvnaeqaqy440e5624jl3lytm6wa,5,false,12000,0,0,0,0,15000
25,bc1qcvse88u4rgwzptcuvn7t9uv7f44n8ljp7zuu22,5,false,12000,2,5000,2,10000,25000
26,bc1qfclzwmjshjauhvznz2hjw8matnrprgdxru4nr3,5,false,12000,0,0,1,5000,20000
27,bc1qw08xsvlh9ntz0h8ck80gvke60tesv03zlcvvyw,5,false,12000,0,0,0,0,15000
28,bc1q6zd6xr9xhfzyugg7x64qlsp6sn03dnwj6hu982,5,true,21000,0,0,1,5000,29000
29,bc1qfa5896tyy66y9fypfkp5xet6hysac29fshntew,5,false,12000,0,0,1,5000,20000
30,bc1qjzkt3qx0k74upmys0kvv6h408gqqrf9u4sc835,5,true,21000,0,0,0,0,24000
31,bc1qghy0nxxj7dt0qu02xekyplhvt2v0qquarc8nq9,5,true,21000,0,0,0,0,24000
32,bc1q7evl4yzrl3zql3lgrzn9vzp3a5x2kf2whthzv2,4,false,12000,0,0,0,0,12000
