address,$viva,bos,kevin,sato,spad,stamp,stmap,utxo,stamp_count_andy_gone_pepe,stamp_count_bos_nft,stamp_count_fridapepe_by_lu,stamp_count_frogtheculture,stamp_count_garbagepailstamps,stamp_count_hnftpepe,stamp_count_immortalpepes,stamp_count_k_everywhere-fineartpepe-pepelost_inart,stamp_count_memes_by_lu,stamp_count_stampshroomz,stamp_count_thiccc,stamp_count_vandalmigos,stamp_count_vivalastamps_nft,stamp_count__total,stamp_count_unique,SPAD_Bonus
bc1qndwhntf80jv90kkkgvs67vp48hhpxeetrk9f5m,0.0,0.0,0.0,0.0,0.0,98259080.4622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qdnksce7dgfsehtdxgz6fzdj2k6qfvmyf8uc2vv,0.0,0.0,4000000.0,0.0,0.0,32120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
3NfBFUSx8MkoiB2UNqPdNsYUq4YR9cfr6V,0.0,0.0,0.0,0.0,0.0,27024068.0,0.0,1590000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1pgprfn75pr6zwn6epzjs59ldyspdrzf2q5mycnkglc95nhy5zm78qwgx6gc,0.0,0.0,0.0,0.0,0.0,19800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1q9v9zzpf8ujk9peaep8w6cdfepk2j4cpgjacm4k,0.0,0.0,4370000.0,0.0,0.0,10300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1q77yx24p8d0gkhm44hzc2m7ws67zlfh7alc296u,0.0,0.0,465000.0,0.0,0.0,8700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qwtcc2jy8du3g0l5pjxsyhlh2fsf6nfkrjs8utc,0.0,0.0,1572898.0,0.0,0.0,8585796.0,520000.0,2980000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qkjfg2s5u8dj7am3xfevda3lv9rj5njjq3v2rlm,0.0,0.0,4620000.0,0.0,0.0,7700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qqhnth5mvjdyj4ck6de6aqna8zv7ckg5e5msnzr,0.0,0.0,1680000.0,0.0,0.0,7570000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qxgk4ds69nd8fmkxkf9wftw3q8z6tx464nxqksy,0.0,0.0,5120000.0,100000.0,0.0,7450000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qkppavcs9v3h3csfepr0x3gxa2qtxgvn93a2xlk,0.0,0.0,0.0,0.0,0.0,7020998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1q9pq2zft3k2pdzwvdv9a60p6ja6344f5z0rgqef,0.0,0.0,324388.0,0.0,0.0,7000000.0,0.0,540000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1q7yhpue329qtaqrkxp49rz7xhcs7vzxrqxj84h0,0.0,0.0,5880000.0,0.0,0.0,6700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qledw3qltvnrkl7533yrsw5y2daklmydn03rtjj,0.0,0.0,2550.0,0.0,0.0,6652796.0,0.0,4195000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qwzetcr4dh6q348vdd66kwle23awugy386g8hqd,0.0,0.0,0.0,0.0,0.0,6553333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qt2g7m8zy2cnaveqvyz2h8pgmthvw4ct0tq6tz9,0.0,0.0,0.0,0.0,0.0,6200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qx7ydd4tqs8dra0wnkwx6t6t82rmz47w6cj5pnn,0.0,0.0,0.0,412000.0,0.0,5866100.0,1185750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qnvz9l8yhmdgleklkws5nusnup796e4uafml29t,0.0,0.0,2470000.0,0.0,0.0,5682800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qpc3kvkeawwcrxkz7wuxxhslkrgc26z9mlknqn4,0.0,0.0,0.0,0.0,500000.0,5500107.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,true
1HTRhC8tWUrcVS8LYbhzixzTrpKxJhseLs,0.0,200000.0,2520000.0,0.0,0.0,5500000.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,24.0,5.0,false
1AQpq4HsmEiB1svsMBxkq6u54GtZAv14ah,0.0,0.0,0.0,0.0,0.0,5400000.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,3.0,0.0,4.0,3.0,1.0,0.0,0.0,3.0,29.0,6.0,false
bc1qrlsh5jd34ejz8thk2qg4aeprvg8r886de5lek7,0.0,0.0,0.0,0.0,0.0,5342779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qs09evqp99gd3akxdhe5lgkgs324lycs2yujqdr,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qaepwvj3llsz20784ddv3d4lax037gyjhgwfp9l,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1q504u57t9gd4w7d6r6flsr4285mafundqvu7srw,0.0,0.0,4200000.0,0.0,0.0,4997138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qwdgpchugenmzq8epswxkqft6spegs7q2n0qy70,961000.0,0.0,4849022.0,76449.0,0.0,4811985.01799,2734002.0,7831007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,false
bc1qt35j7q8c47zwemqhw45ms0tsad4pf8qjvvhe55,0.0,0.0,6563580.0,0.0,0.0,4758225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qlztu9s8s667r755mhnc2ns3eh6jvph37p35gvt,0.0,0.0,0.0,0.0,0.0,4500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qv00gy8h6dk2jwnnx2u5lj0mnf4xznslrmvjtt3,0.0,0.0,1140000.0,200000.0,0.0,4426724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1q6m9gfy70vmrvz2t4a2t767c6q6pfwpxr8m3du0,0.0,0.0,0.0,0.0,0.0,4400000.0,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qcxguckhyvdjga3ft928zp3w3tcvy9eatc5ttjc,0.0,0.0,2520000.0,0.0,0.0,4200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qjsglm7cstn5q06f6kzs0kcz282qvlpm80qlqsa,0.0,0.0,0.0,0.0,0.0,4185000.0,0.0,11750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1q9ag94c7j2aautxmqp0u84wtrxwhe4py546ku2q,0.0,0.0,0.0,0.0,0.0,4101681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1q9c9urdvfzrxqydzemvfh46wfsn73flnenumam4,0.0,0.0,0.0,0.0,0.0,4004500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,false
bc1qyaf27xxv7ywafjpu07djhrj9c6llmj5y4xza8v,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qtjeryxyvtfqgkyl5533kt8wk04lyhauhuvaes0,0.0,0.0,412960.0,0.0,0.0,4000000.0,0.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qjyr9tx3csezkyxl8jtadhlvle0zkjngsle64t8,0.0,0.0,0.0,0.0,0.0,3899000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qcqy63d075sg3rjd9d34yp0annzpw8upg77femz,0.0,0.0,0.0,0.0,0.0,3600000.0,0.0,9400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
