address,$viva,bos,kevin,sato,spad,stamp,stmap,utxo,lowest_blockHeight,highest_blockHeight,eligible
bc1qndwhntf80jv90kkkgvs67vp48hhpxeetrk9f5m,0,0,0,0,0,98259080.4622,0,0,836011,836011,No
bc1qdnksce7dgfsehtdxgz6fzdj2k6qfvmyf8uc2vv,0,0,4000000.0,0,0,32120000.0,0,0,819987,823134,No
3NfBFUSx8MkoiB2UNqPdNsYUq4YR9cfr6V,0,0,0,0,0,27024068.0,0,1590000.0,834116,834845,Yes
bc1pgprfn75pr6zwn6epzjs59ldyspdrzf2q5mycnkglc95nhy5zm78qwgx6gc,0,0,0,0,0,19800000.0,0,0,830894,830894,No
bc1q9v9zzpf8ujk9peaep8w6cdfepk2j4cpgjacm4k,0,0,4370000.0,0,0,10300000.0,0,0,798661,798958,No
bc1q77yx24p8d0gkhm44hzc2m7ws67zlfh7alc296u,0,0,465000.0,0,0,8700000.0,0,0,822395,833875,No
bc1qwtcc2jy8du3g0l5pjxsyhlh2fsf6nfkrjs8utc,0,0,1572898.0,0,0,8585796.0,520000.0,2980000.0,821949,834835,No
bc1qkjfg2s5u8dj7am3xfevda3lv9rj5njjq3v2rlm,0,0,4620000.0,0,0,7700000.0,0,0,796692,796980,No
bc1qqhnth5mvjdyj4ck6de6aqna8zv7ckg5e5msnzr,0,0,1680000.0,0,0,7570000.0,0,0,789278,834321,No
bc1qxgk4ds69nd8fmkxkf9wftw3q8z6tx464nxqksy,0,0,5120000.0,100000.0,0,7450000.0,0,0,816503,835109,No
bc1qkppavcs9v3h3csfepr0x3gxa2qtxgvn93a2xlk,0,0,0,0,0,7020998.0,0,0,832526,832526,No
bc1q9pq2zft3k2pdzwvdv9a60p6ja6344f5z0rgqef,0,0,324388.0,0,0,7000000.0,0,540000.0,821410,823897,No
bc1q7yhpue329qtaqrkxp49rz7xhcs7vzxrqxj84h0,0,0,5880000.0,0,0,6700000.0,0,0,796017,796024,No
bc1qledw3qltvnrkl7533yrsw5y2daklmydn03rtjj,0,0,2550.0,0,0,6652796.0,0,4195000.0,822228,822828,No
bc1qwzetcr4dh6q348vdd66kwle23awugy386g8hqd,0,0,0,0,0,6553333.0,0,0,834076,834076,No
bc1qt2g7m8zy2cnaveqvyz2h8pgmthvw4ct0tq6tz9,0,0,0,0,0,6200000.0,0,0,822069,822069,No
bc1qx7ydd4tqs8dra0wnkwx6t6t82rmz47w6cj5pnn,0,0,0,412000.0,0,5866100.0,1185750.0,0,823850,824155,No
bc1qnvz9l8yhmdgleklkws5nusnup796e4uafml29t,0,0,2470000.0,0,0,5682800.0,0,0,833904,834756,No
bc1qpc3kvkeawwcrxkz7wuxxhslkrgc26z9mlknqn4,0,0,0,0,500000.0,5500107.0,0,0,834225,834814,No
1HTRhC8tWUrcVS8LYbhzixzTrpKxJhseLs,0,200000.0,2520000.0,0,0,5500000.0,0,0,788145,833912,Yes
1AQpq4HsmEiB1svsMBxkq6u54GtZAv14ah,0,0,0,0,0,5400000.0,0,0,833916,833916,Yes
bc1qrlsh5jd34ejz8thk2qg4aeprvg8r886de5lek7,0,0,0,0,0,5342779.0,0,0,834687,834687,No
bc1qs09evqp99gd3akxdhe5lgkgs324lycs2yujqdr,0,0,0,0,0,5000000.0,0,0,835170,835170,No
bc1qaepwvj3llsz20784ddv3d4lax037gyjhgwfp9l,0,0,0,0,0,5000000.0,0,0,835170,835170,No
bc1q504u57t9gd4w7d6r6flsr4285mafundqvu7srw,0,0,4200000.0,0,0,4997138.0,0,0,796146,835002,No
bc1qwdgpchugenmzq8epswxkqft6spegs7q2n0qy70,961000.0,0,4849022.0,76449.0,0,4811985.01799,2734002.0,7831007.0,826072,835991,No
bc1qt35j7q8c47zwemqhw45ms0tsad4pf8qjvvhe55,0,0,6563580.0,0,0,4758225.0,0,0,833867,833868,No
bc1qlztu9s8s667r755mhnc2ns3eh6jvph37p35gvt,0,0,0,0,0,4500000.0,0,0,820313,820313,No
